actor_episodes,actor_steps,delta_dist,episode_length,episode_return,evaluator_episodes,evaluator_steps,final_dist,init_dist,min_dist,steps_per_second,success,success_1000
255,12750,0.66149807,50,0.0,118,5900,10.65221,11.313708,10.65221,62.24310626683588,0.0,0.0
255,12750,0.6768198,50,0.0,120,6000,10.6368885,11.313708,10.6368885,71.88102821151575,0.0,0.0
255,12750,0.6689396,50,0.0,122,6100,10.644769,11.313708,10.644769,81.21850687286488,0.0,0.0
255,12750,6.2890697,50,0.0,125,6250,5.0246387,11.313708,5.0246387,96.46043017221791,0.0,0.0
255,12750,6.257228,50,0.0,128,6400,5.0564804,11.313708,5.0564804,147.27004855275706,0.0,0.0
255,12750,6.2712617,50,0.0,131,6550,5.0424466,11.313708,5.0424466,153.27425478810292,0.0,0.0
255,12750,6.2974777,50,0.0,135,6750,5.0162306,11.313708,5.0162306,158.94679798848725,0.0,0.0
255,12750,6.289497,50,0.0,139,6950,5.0242114,11.313708,5.0242114,164.10551759917806,0.0,0.0
255,12750,6.2624416,50,0.0,143,7150,5.0512667,11.313708,5.0502825,165.78525685366026,0.0,0.0
255,12750,6.286325,50,0.0,147,7350,5.0273833,11.313708,5.0273833,177.66843390315273,0.0,0.0
257,12850,6.2419615,50,0.0,149,7450,5.071747,11.313708,5.07165,54.498942324184135,0.0,0.0
259,12950,6.2874546,50,0.0,150,7500,5.0262537,11.313708,5.0262537,35.46028921459715,0.0,0.0
259,12950,6.243845,50,0.0,152,7600,5.0698633,11.313708,5.0698633,115.28425376309566,0.0,0.0
259,12950,6.268594,50,0.0,155,7750,5.0451145,11.313708,5.0451145,135.67362539326004,0.0,0.0
259,12950,2.354292,50,0.0,159,7950,8.959416,11.313708,8.957528,119.58176216643412,0.0,0.0
259,12950,2.333744,50,0.0,163,8150,8.979964,11.313708,8.96225,181.35946611366273,0.0,0.0
259,12950,2.3307877,50,0.0,167,8350,8.982921,11.313708,8.965338,159.1668368016843,0.0,0.0
259,12950,2.3530617,50,0.0,171,8550,8.960647,11.313708,8.960647,199.66296820285888,0.0,0.0
259,12950,0.67800903,50,0.0,175,8750,10.635699,11.313708,10.620849,213.03232635365273,0.0,0.0
259,12950,0.6769781,50,0.0,180,9000,10.63673,11.313708,10.6251335,231.66422720669865,0.0,0.0
259,12950,0.66708183,50,0.0,185,9250,10.646626,11.313708,10.637863,187.5412592165332,0.0,0.0
259,12950,8.091326,50,0.0,188,9400,3.2223823,11.313708,3.1454406,106.59444996777492,0.0,0.0
263,13150,8.118469,50,0.0,190,9500,3.195239,11.313708,3.125543,37.29692478287276,0.0,0.0
263,13150,8.132542,50,0.0,193,9650,3.181167,11.313708,3.116608,114.293188467089,0.0,0.0
263,13150,8.124333,50,0.0,196,9800,3.189375,11.313708,3.1143475,188.26604903360175,0.0,0.0
263,13150,8.108825,50,0.0,200,10000,3.2048836,11.313708,3.131177,131.29421545966548,0.0,0.0
263,13150,8.148404,50,0.0,204,10200,3.1653044,11.313708,3.1548054,202.02297326977987,0.0,0.0
263,13150,8.1002865,50,0.0,209,10450,3.2134218,11.313708,3.2134218,197.85106111994264,0.0,0.0
263,13150,8.143489,50,0.0,213,10650,3.1702192,11.313708,3.1702192,195.7096316315513,0.0,0.0
263,13150,8.074857,50,0.0,217,10850,3.2388518,11.313708,3.1669571,227.1980932777206,0.0,0.0
263,13150,8.144661,50,0.0,222,11100,3.1690476,11.313708,3.0983126,219.97436440722413,0.0,0.0
263,13150,8.083769,50,0.0,227,11350,3.229939,11.313708,3.1309028,200.70341592169976,0.0,0.0
264,13200,8.133009,50,0.0,231,11550,3.1806989,11.313708,3.1806989,73.62496818417195,0.0,0.0
267,13350,8.134843,50,0.0,233,11650,3.1788657,11.313708,3.1788657,73.14647977124983,0.0,0.0
267,13350,8.157736,50,0.0,237,11850,3.155973,11.313708,3.155973,239.74328635985864,0.0,0.0
267,13350,8.082995,50,0.0,242,12100,3.2307131,11.313708,3.2307131,245.38482960036882,0.0,0.0
267,13350,8.133348,50,0.0,246,12300,3.18036,11.313708,3.18036,199.58696012166595,0.0,0.0
267,13350,8.156909,50,0.0,251,12550,3.1567993,11.313708,3.1567993,221.73571483703026,0.0,0.0
267,13350,8.12505,50,0.0,256,12800,3.1886592,11.313708,3.1886592,197.07408019967224,0.0,0.0
267,13350,8.308527,50,0.0,260,13000,3.0051813,11.313708,3.0051756,165.78656743909545,0.0,0.0
267,13350,6.229703,50,0.0,263,13150,5.0840054,11.313708,5.0829244,135.97791313346397,0.0,0.0
267,13350,6.195539,50,0.0,266,13300,5.1181693,11.313708,5.115511,162.61568177712022,0.0,0.0
267,13350,6.243835,50,0.0,270,13500,5.0698733,11.313708,5.068408,159.51963501023454,0.0,0.0
268,13400,8.088099,50,0.0,273,13650,3.2256098,11.313708,3.187819,94.84980714818111,0.0,0.0
269,13450,8.089467,50,0.0,274,13700,3.2242413,11.313708,3.2242413,44.16854269326865,0.0,0.0
270,13500,8.149406,50,0.0,276,13800,3.1643019,11.313708,3.1643019,195.02331368672432,0.0,0.0
270,13500,8.1190605,50,0.0,280,14000,3.1946476,11.313708,3.1812341,156.17160801905797,0.0,0.0
270,13500,8.093327,50,0.0,284,14200,3.2203817,11.313708,3.2203817,226.78852016346622,0.0,0.0
270,13500,6.2897305,50,0.0,288,14400,5.0239778,11.313708,5.02302,187.72373937920491,0.0,0.0
270,13500,6.27086,50,0.0,293,14650,5.042848,11.313708,5.042756,205.22548212749675,0.0,0.0
270,13500,6.290634,50,0.0,297,14850,5.023074,11.313708,5.0216775,178.8144531633028,0.0,0.0
270,13500,8.118105,50,0.0,301,15050,3.1956034,11.313708,3.1563852,129.7536221034155,0.0,0.0
270,13500,8.138384,50,0.0,306,15300,3.1753247,11.313708,3.1753247,194.4830899147842,0.0,0.0
270,13500,8.123217,50,0.0,309,15450,3.1904914,11.313708,3.1904914,135.67818974290296,0.0,0.0
270,13500,8.13586,50,0.0,312,15600,3.1778483,11.313708,3.1778483,129.76309587232285,0.0,0.0
270,13500,8.123201,50,0.0,315,15750,3.1905067,11.313708,3.170904,89.90770230660634,0.0,0.0
272,13600,8.085681,50,0.0,317,15850,3.2280276,11.313708,3.1193347,150.27864384966347,0.0,0.0
272,13600,8.074633,50,0.0,321,16050,3.2390757,11.313708,3.1385238,185.56157729181137,0.0,0.0
272,13600,8.118663,50,0.0,325,16250,3.1950457,11.313708,3.0893312,138.40559337179636,0.0,0.0
274,13700,8.133184,50,0.0,329,16450,3.180524,11.313708,3.180524,49.300579621835304,0.0,0.0
275,13750,8.126919,50,0.0,330,16500,3.18679,11.313708,3.18679,48.71738761780646,0.0,0.0
275,13750,8.113098,50,0.0,333,16650,3.2006106,11.313708,3.2006106,138.25039240620652,0.0,0.0
275,13750,8.10113,50,0.0,336,16800,3.2125793,11.313708,3.2125793,106.15846584040837,0.0,0.0
275,13750,8.107828,50,0.0,339,16950,3.2058804,11.313708,3.2058804,134.13274149498878,0.0,0.0
275,13750,8.118405,50,0.0,342,17100,3.1953027,11.313708,3.1953027,208.43602809557743,0.0,0.0
275,13750,8.132374,50,0.0,346,17300,3.1813345,11.313708,3.1813345,218.10550049868388,0.0,0.0
275,13750,8.117317,50,0.0,350,17500,3.1963909,11.313708,3.1963909,188.48856073304782,0.0,0.0
275,13750,8.13824,50,0.0,354,17700,3.1754682,11.313708,3.1754682,194.72434620723595,0.0,0.0
276,13800,8.135304,50,0.0,357,17850,3.178404,11.313708,3.178404,148.1470597377203,0.0,0.0
276,13800,8.1164255,50,0.0,362,18100,3.197283,11.313708,3.1777003,232.46542923176688,0.0,0.0
276,13800,8.102291,50,0.0,367,18350,3.2114177,11.313708,3.2114177,247.50325436698873,0.0,0.0
277,13850,8.082474,50,0.0,371,18550,3.231235,11.313708,3.231235,97.32065085487002,0.0,0.0
280,14000,8.0951185,50,0.0,373,18650,3.2185898,11.313708,3.2185898,62.844224743666885,0.0,0.0
280,14000,8.153372,50,0.0,378,18900,3.160336,11.313708,3.160336,190.0224168519636,0.0,0.0
280,14000,8.065625,50,0.0,382,19100,3.248083,11.313708,3.248083,138.80398948157787,0.0,0.0
280,14000,8.118357,50,0.0,385,19250,3.1953511,11.313708,3.1953511,108.38476542109882,0.0,0.0
280,14000,8.109566,50,0.0,390,19500,3.204143,11.313708,3.204143,218.54940400884556,0.0,0.0
280,14000,8.093298,50,0.0,395,19750,3.2204099,11.313708,3.2204099,216.9215508404713,0.0,0.0
280,14000,8.108727,50,0.0,400,20000,3.204981,11.313708,3.204981,137.26029459409045,0.0,0.0
281,14050,8.148863,50,0.0,403,20150,3.1648457,11.313708,3.1648457,217.65029443449274,0.0,0.0
281,14050,8.147387,50,0.0,408,20400,3.1663222,11.313708,3.1523623,216.77244367632647,0.0,0.0
281,14050,8.133356,50,0.0,412,20600,3.1803524,11.313708,3.1803524,165.93400941727916,0.0,0.0
281,14050,8.118961,50,0.0,415,20750,3.1947472,11.313708,3.1947472,86.70130608924006,0.0,0.0
283,14150,8.112899,50,0.0,417,20850,3.2008092,11.313708,3.2008092,50.83216179792711,0.0,0.0
283,14150,8.15101,50,0.0,421,21050,3.1626987,11.313708,3.1626987,202.35591990489866,0.0,0.0
283,14150,8.128514,50,0.0,426,21300,3.1851943,11.313708,3.1851943,207.13778454688313,0.0,0.0
283,14150,8.142758,50,0.0,430,21500,3.1709497,11.313708,3.1709497,201.5546551233652,0.0,0.0
283,14150,8.118473,50,0.0,435,21750,3.1952355,11.313708,3.1952355,214.18458983611012,0.0,0.0
283,14150,8.145956,50,0.0,440,22000,3.1677525,11.313708,3.1677525,229.86896117063546,0.0,0.0
283,14150,8.140102,50,0.0,444,22200,3.1736062,11.313708,3.1736062,136.70376804414357,0.0,0.0
283,14150,8.138232,50,0.0,448,22400,3.1754758,11.313708,3.1754758,216.91078134971406,0.0,0.0
283,14150,8.150137,50,0.0,453,22650,3.1635711,11.313708,3.1635711,210.96410751649768,0.0,0.0
283,14150,8.139963,50,0.0,457,22850,3.1737447,11.313708,3.1737447,168.45758020232722,0.0,0.0
285,14250,8.1267605,50,0.0,460,23000,3.1869483,11.313708,3.1869483,70.3293165471848,0.0,0.0
288,14400,8.134024,50,0.0,461,23050,3.1796842,11.313708,3.1796842,46.701939626807956,0.0,0.0
288,14400,8.146963,50,0.0,463,23150,3.1667457,11.313708,3.1667457,208.87572844737002,0.0,0.0
288,14400,8.1489725,50,0.0,468,23400,3.164736,11.313708,3.164736,210.21719867042498,0.0,0.0
288,14400,8.16239,50,0.0,473,23650,3.151319,11.313708,3.151319,126.46404538626629,0.0,0.0
288,14400,8.138565,50,0.0,478,23900,3.1751428,11.313708,3.1751428,222.64887303457868,0.0,0.0
288,14400,8.148483,50,0.0,483,24150,3.1652253,11.313708,3.1652253,242.25683370048506,0.0,0.0
288,14400,8.156826,50,0.0,488,24400,3.1568818,11.313708,3.1568818,148.8265412933558,0.0,0.0
288,14400,8.170975,50,0.0,491,24550,3.142733,11.313708,3.142733,134.08745935149085,0.0,0.0
288,14400,8.1445875,50,0.0,494,24700,3.169121,11.313708,3.169121,172.97454233527574,0.0,0.0
288,14400,8.147087,50,0.0,498,24900,3.1666207,11.313708,3.1666207,120.922031412079,0.0,0.0
288,14400,8.145769,50,0.0,502,25100,3.1679397,11.313708,3.1679397,80.38539261412595,0.0,0.0
